"","item","group1","group2","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X11","1","2006","Midwest",1,910,68.5656043956044,34.882467335498,65.95,66.1532967032967,33.13611,1.5,262.2,260.7,0.953628046873002,2.16132534773455,1.15634253234117
"X12","2","2007","Midwest",1,904,72.1944690265487,38.0770954301335,67.75,69.5149171270718,35.06349,0.5,355.3,354.8,1.23401590085884,4.53585034536377,1.2664253558159
"X13","3","2008","Midwest",1,906,74.7671081677704,38.4344274742642,70.4,72.2881542699725,37.28739,1.1,270.3,269.2,0.811427284723658,1.36298880526659,1.27689832505667
"X14","4","2009","Midwest",1,902,76.7664079822616,39.4620636068188,72.45,73.9527700831025,36.69435,1.5,272.6,271.1,0.900399247661628,1.68763005914401,1.31394299374356
"X15","5","2010","Midwest",1,900,78.9853333333333,40.4036902135171,74.4,76.2045833333333,37.73217,1.4,280.1,278.7,0.837158280868367,1.44462890394621,1.3467896737839
"X16","6","2011","Midwest",1,902,79.0074279379157,40.8242982780125,75.55,76.6263157894737,40.69737,1.1,267.5,266.4,0.691642272798659,0.946212303750054,1.35930044691385
"X17","7","2012","Midwest",1,892,84.067600896861,41.2039935418903,81.45,81.8383753501401,41.43867,0.5,271.6,271.1,0.665971293781572,0.941693588687527,1.37961174584832
"X18","8","2013","Midwest",1,894,82.9923937360179,40.127038861484,79.15,80.8101955307263,40.17846,0.2,251.5,251.3,0.624226188774956,0.630810894472905,1.34204893929803
"X19","9","2014","Midwest",1,991,73.5596367305752,42.29305176677,73.2,72.4562421185372,41.5128,0,246.9,246.9,0.379350028493823,0.24261759479571,1.34348306594577
"X110","10","2015","Midwest",1,995,67.9611055276382,39.2596493256749,68.2,67.2174404015056,39.14064,0.1,243.4,243.3,0.303666120684758,0.173871461307221,1.24461455564992
"X111","11","2016","Midwest",1,995,64.6908542713568,36.1649600133955,64.7,64.1425345043915,35.87892,0.1,239.5,239.4,0.332341969630499,0.455537459919118,1.14650630890207
"X112","12","2017","Midwest",1,989,57.6290192113246,31.7643005052478,57.1,57.1470365699874,31.28286,0,203.8,203.8,0.338476465891539,0.471528891880098,1.01004599330035
"X113","13","2006","Northeast",1,215,63.0683720930233,20.8508168927393,64,63.2976878612717,21.20118,5.1,116.7,111.6,-0.100894684630751,-0.094103975530548,1.42201390941836
"X114","14","2007","Northeast",1,215,65.6609302325581,21.4370270786727,65.4,65.9329479768786,21.20118,4.6,122.7,118.1,-0.089406568390091,-0.025720680384323,1.461993112273
"X115","15","2008","Northeast",1,215,68.1553488372093,22.1392335122195,68,68.3080924855491,23.57334,2,128.8,126.8,-0.069423607843601,-0.127407000873024,1.50988319355487
"X116","16","2009","Northeast",1,215,68.8739534883721,22.1624982290994,69.8,69.0508670520231,22.53552,1.2,136.9,135.7,-0.06490392751933,-0.015742967204758,1.51146983407702
"X117","17","2010","Northeast",1,215,70.8279069767442,23.1333348261383,71.4,70.7595375722543,22.9803,7.9,141.7,133.8,0.048870147867481,0.002204828231531,1.57768034045015
"X118","18","2011","Northeast",1,214,71.2803738317757,22.8294696265084,72.05,71.131976744186,22.09074,14.5,142,127.5,0.097523637922788,0.024213945189652,1.56059041581181
"X119","19","2012","Northeast",1,214,73.8757009345794,22.6797311471156,75.35,73.8755813953488,22.16487,22.4,139,116.6,0.028233163262164,-0.137979324753706,1.55035450408711
"X120","20","2013","Northeast",1,214,70.4401869158878,22.6099311754442,73.65,70.375,21.64596,11.7,135.2,123.5,0.044176628142261,-0.082991261114991,1.54558307625299
"X121","21","2014","Northeast",1,216,67.7314814814815,22.7743333628141,70.6,67.9270114942529,22.239,0.1,134.9,134.8,-0.067580893911252,0.092687800045764,1.54959711030383
"X122","22","2015","Northeast",1,216,66.924537037037,19.0259137791988,67.1,66.6977011494253,18.82902,10.8,134.2,123.4,0.142642258913459,0.754198695075991,1.29454946247846
"X123","23","2016","Northeast",1,216,62.1837962962963,17.268734119189,62.4,61.8977011494253,16.01208,12.6,128.8,116.2,0.232934967057495,1.05645761396684,1.17498853043898
"X124","24","2017","Northeast",1,216,53.7907407407407,14.4959274924841,54.15,53.5793103448276,12.67623,0.5,107,106.5,0.110438327198781,1.29005279052248,0.986322936249123
"X125","25","2006","South",1,1259,93.3513105639396,50.3674261751107,86.2,88.682953419227,42.40236,0.1,403.3,403.2,1.43944446463816,4.46546731929245,1.41950489178866
"X126","26","2007","South",1,1254,98.6696172248804,52.5141419968927,91.35,93.908764940239,43.36605,0.5,438.4,437.9,1.4369460419669,4.64869689423289,1.48295340626715
"X127","27","2008","South",1,1262,102.141917591125,55.3197957676484,94.4,97.3170297029703,45.81234,0.5,474.7,474.2,1.45211649213601,4.87595512753695,1.55722329066844
"X128","28","2009","South",1,1260,104.744047619048,56.2349643860941,97.3,99.883630952381,46.33125,1,520.1,519.1,1.4104760384463,4.85413313184508,1.58424064718047
"X129","29","2010","South",1,1256,107.674044585987,56.7405611354956,101.4,103.139662027833,48.48102,0,566.4,566.4,1.33570804517548,4.96956406194692,1.60102755568206
"X130","30","2011","South",1,1261,107.48628072958,56.9377819206626,99.6,102.408919722498,45.9606,0.2,583.8,583.6,1.59369709634853,6.56125173039748,1.60340414287742
"X131","31","2012","South",1,1259,111.289833200953,57.4227562306096,104.4,106.512190287413,47.29494,3.5,570.1,566.6,1.67246257007647,7.56736306934134,1.61834521950652
"X132","32","2013","South",1,1277,106.986061080658,54.8172709201598,101.2,103.157086999022,45.9606,0.1,578.1,578,1.6212134316176,8.38616253675565,1.53398799820877
"X133","33","2014","South",1,1363,98.8712399119589,56.2115410872033,95.6,96.4929422548121,46.99842,0.3,563.3,563,1.31379938301346,7.21322111022577,1.52257103662003
"X134","34","2015","South",1,1362,91.9265051395007,51.8728781116768,88.9,89.7921100917431,43.66257,0,504.9,504.9,1.13842945230249,5.67046159062849,1.40556777361249
"X135","35","2016","South",1,1362,89.098751835536,47.5936338264568,86.45,87.0483486238532,40.99389,0,470.3,470.3,1.11612603690846,5.49507333558175,1.28961569843032
"X136","36","2017","South",1,1361,79.6689199118295,42.2820361949189,77.7,78.0425160697888,36.17544,0,396.1,396.1,0.969273483572573,4.35952436434271,1.14611139660279
"X137","37","2006","West",1,370,76.1054054054054,31.0043518751974,75.55,74.8189189189189,29.28135,5.4,184.7,179.3,0.483218758927026,0.570698564218225,1.61183950243952
"X138","38","2007","West",1,373,79.6911528150134,32.3247242503473,77.4,78.3344481605351,30.3933,7.6,194.8,187.2,0.49875361180571,0.599910752989749,1.67371077820044
"X139","39","2008","West",1,375,82.3072,34.8551744123524,80,80.9571428571429,31.28286,0.6,203.4,202.8,0.45380405998477,0.528657611304516,1.79991346704261
"X140","40","2009","West",1,373,84.2096514745308,36.2083882507481,81.5,82.809364548495,32.02416,4.3,215.5,211.2,0.456792282232759,0.414526089758288,1.87479927770434
"X141","41","2010","West",1,370,86.6218918918919,36.7801662660378,83.95,84.9631756756757,32.69133,2.7,213.9,211.2,0.496108374306166,0.447087324997863,1.91210979453883
"X142","42","2011","West",1,368,86.5135869565217,37.7680650268521,84.15,84.977027027027,34.91523,4.8,223.2,218.4,0.49147120654238,0.446642110656169,1.96879648728589
"X143","43","2012","West",1,371,86.5706199460916,37.0634747629863,85.5,84.906734006734,37.065,9.1,227,217.9,0.539723092438928,0.623387610079362,1.92423973260483
"X144","44","2013","West",1,368,85.7388586956522,34.3928519885119,84.05,84.4033783783784,33.28437,8.6,213.2,204.6,0.453322421082167,0.338672986091302,1.79285134503406
"X145","45","2014","West",1,390,79.665641025641,37.3758489716148,79.45,79.3195512820513,33.65502,0.4,198.1,197.7,0.148776301906971,0.071234769643118,1.89259968158639
"X146","46","2015","West",1,390,73.8348717948718,34.3255788270018,73.35,73.9846153846154,32.76546,0,183.1,183.1,0.019919304457685,-0.109763641165865,1.73814324880192
"X147","47","2016","West",1,389,69.1542416452442,31.1322224055805,68.7,69.244089456869,29.652,0,176,176,0.060738036687795,0.042742301863737,1.57846633442772
"X148","48","2017","West",1,389,61.3994858611825,26.7582533706204,62,61.3421725239617,26.09376,0,154.1,154.1,0.082054921761264,0.042052558049825,1.35669730105873
